,Date,open,high,low,close,vol tick
420,2018.08.15,141371,141753,139881,140575,105403
421,2018.08.16,140532,141311,140192,140924,107010
422,2018.08.17,140903,141151,140210,140900,89171
423,2018.08.20,140906,141205,140702,140822,65645
424,2018.08.21,140788,142663,140647,142250,84745
425,2018.08.22,142128,142783,141932,142701,82184
426,2018.08.23,142693,142993,142408,142499,76761
427,2018.08.24,142517,143225,142463,142900,83506
428,2018.08.27,142890,143268,142510,143182,62456
429,2018.08.28,143167,143651,143031,143094,77838
430,2018.08.29,143094,145550,142806,145452,91831
431,2018.08.30,145436,145668,144329,144330,90706
432,2018.08.31,144303,144683,143478,143937,97139
433,2018.09.03,143380,143701,142821,142959,76173
434,2018.09.04,142892,143364,142577,143189,86871
435,2018.09.05,143172,144950,142637,143905,99798
436,2018.09.06,143854,144227,142924,143150,94625
437,2018.09.07,143147,144420,142592,143409,106979
438,2018.09.10,143467,145013,143056,144702,75777
439,2018.09.11,144698,145912,144323,145442,82802
440,2018.09.12,145364,145637,144658,145068,83184
441,2018.09.13,145082,146803,144998,146676,84367
442,2018.09.14,146672,147003,146240,146419,80845
443,2018.09.17,146302,147448,146297,147130,75346
444,2018.09.18,147128,147896,146764,147717,99166
445,2018.09.19,147718,148518,147178,147548,89479
446,2018.09.20,147471,149271,147328,149206,102058
447,2018.09.21,149130,149698,146974,147173,94106
448,2018.09.24,146990,148285,146929,147931,75816
449,2018.09.25,147936,149008,147790,148867,85014
450,2018.09.26,148862,149079,148263,148363,92839
451,2018.09.27,148363,148714,147580,148200,98342
452,2018.09.28,148200,148627,147523,148112,88446
453,2018.10.01,148288,149409,148153,148522,80521
454,2018.10.02,148541,148705,147178,147471,94596
455,2018.10.03,147447,148570,147249,148212,106206
456,2018.10.04,148145,148619,147687,148263,117287
457,2018.10.05,148266,149252,148063,149121,135534
458,2018.10.08,149245,149493,147478,148174,116496
459,2018.10.09,148118,148730,147332,148434,148255
460,2018.10.10,148429,149289,148042,148074,136002
461,2018.10.11,148060,148764,147797,148415,206165
462,2018.10.12,148257,148988,147145,147578,147696
463,2018.10.15,146717,147412,146492,146970,135257
464,2018.10.16,146973,148389,146826,147908,122503
465,2018.10.17,147899,148237,147037,147695,123792
